INGREDIENT,PACKAGE,AMOUNT (LBS),PRICE PER PACKAGE,VENDOR FREIGHT CODE,TEMPERATURE
Ingredient1,Package,Amount (lbs),Price Per Package,Vendor Freight Code,Temperature
Ingredient1,Package,Amount (lbs),Price Per Package,Vendor2 Freight Code,Temperature
Ingredient2,Package,Amount (lbs),Price Per Package,Vendor Freight Code,Temperature
Ingredient3,Package,Amount (lbs),Price Per Package,Vendor2 Freight Code,Temperature
Ingredient4,Package,Amount (lbs),Price Per Package,Vendor Freight Code,Temperature
Ingredient5,Package,Amount (lbs),Price Per Package,Vendor3 Freight Code,Temperature
,,,,,
,,,,,
Ex.,,,,,
INGREDIENT,PACKAGE,AMOUNT (LBS),PRICE PER PACKAGE,VENDOR FREIGHT CODE,TEMPERATURE
"Carrots, pail",pail,89,20.15,DF2CK21,room temperature
"Carrots, pail",pail,45,16.89,JK878DC,room temperature
Carrots - railcar,railcar,24690,4000,DF2CK21,room temperature
Apples - supersack,supersack,60,69.32,JK878DC,frozen
Potatoes - drum,drum,129,32.1,DF2CK21,refrigerated
"Potatoes, sack",sack,55,6.01,KDC322D,refrigerated